   Compiling diamondback v0.1.0 (/home/mkolosick/grading-231/04-diamondback/ucsd-cse231-sp24-04-diamondback-Nagendra-KJ)
test diamondback_recursive_factorial ... ok
test diamondback_function_arg_is_keyword_fail ... FAILED
test diamondback_fun_nested_call ... ok
test diamondback_tail_recursion ... ok
test diamondback_fun_no_args ... ok
test diamondback_namespaces ... ok
test diamondback_many_unused_functions ... ok

failures:

---- diamondback_function_arg_is_keyword_fail stdout ----
thread 'diamondback_function_arg_is_keyword_fail' panicked at tests/infra/mod.rs:102:19:
expected a failure, but compilation succeeded
points lost: 16
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace


failures:
    diamondback_function_arg_is_keyword_fail

test result: FAILED. 140 passed; 1 failed; 0 ignored; 0 measured; 0 filtered out; finished in 2.84s

error: test failed, to rerun pass `--test all_tests`

ASSIGNMENT SCORE: HIGH PASS
